# aligned companion of POSNoise_PatternList_En_v2.1.txt; evidence: UD_English-EWT (33244 sentences) + target corpus (481265 tokens tagged)
# entry	upos	class	evidence_count	source
thereover	-	UNK	0	-
therethrough	-	UNK	0	-
therethroughout	-	UNK	0	-
thereto	VERB	LVERB	4	corpus
theretofore	-	UNK	0	-
thereunder	-	UNK	0	-
thereunto	-	UNK	0	-
thereupon	ADV	ADV	1	corpus
therewith	PART	PART	1	corpus
therewithal	-	UNK	0	-
therewithin	-	UNK	0	-
these	DET	DET	486	ud
they	PRON	PRON	3540	ud
they'd	-	UNK	0	-
they'll	-	UNK	0	-
they're	PRON	PRON	2	ud
they've	-	UNK	0	-
think	VERB	LVERB	650	ud
thinking	VERB	LVERB	66	ud
thinks	VERB	LVERB	20	ud
third	ADJ	OTH	48	ud
this	DET	DET	3330	ud
this time	DET	MWE	3330	ud
tho'	-	UNK	0	-
those	DET	DET	304	ud
though	SCONJ	SCONJ	184	ud
thought	VERB	LVERB	182	ud
three	NUM	NUM	156	ud
through	ADP	ADP	274	ud
throughout	ADP	ADP	26	ud
thru	ADP	ADP	10	ud
thus	ADV	ADV	28	ud
till	SCONJ	SCONJ	18	ud
to	PART	PART	12652	ud
to be sure	PART	MWE	12652	ud
to begin with	PART	MWE	12652	ud
to clarify	PART	MWE	12652	ud
to conclude	PART	MWE	12652	ud
to demonstrate	PART	MWE	12652	ud
to emphasize	PART	MWE	12652	ud
to enumerate	PART	MWE	12652	ud
to explain	PART	MWE	12652	ud
to illustrate	PART	MWE	12652	ud
to list	PART	MWE	12652	ud
to point out	PART	MWE	12652	ud
to put it another way	PART	MWE	12652	ud
to put it differently	PART	MWE	12652	ud
to repeat	PART	MWE	12652	ud
to rephrase it	PART	MWE	12652	ud
to say nothing of	PART	MWE	12652	ud
to sum up	PART	MWE	12652	ud
to summarize	PART	MWE	12652	ud
to that end	PART	MWE	12652	ud
to the end that	PART	MWE	12652	ud
to the left	PART	MWE	12652	ud
to the right	PART	MWE	12652	ud
to this end	PART	MWE	12652	ud
together with	ADV	MWE	106	ud
told	VERB	LVERB	254	ud
tons of	NOUN	MWE	12	ud
too	ADV	ADV	350	ud
took	VERB	LVERB	226	ud
toward	ADP	ADP	38	ud
towards	ADP	ADP	24	ud
tried	VERB	LVERB	108	ud
tries	NOUN	OTH	6	ud
truly	ADV	ADV	30	ud
try	VERB	LVERB	494	ud
trying	VERB	LVERB	146	ud
turn	VERB	LVERB	130	ud
turned	VERB	LVERB	46	ud
turning	VERB	LVERB	10	ud
turns	VERB	LVERB	10	ud
two	NUM	NUM	438	ud
ultimately	ADV	ADV	12	ud
under	ADP	ADP	200	ud
under those circumstances	ADP	MWE	200	ud
underneath	ADV	ADV	4	ud
undoubtedly	ADV	ADV	2	ud
uniquely	ADV	ADV	6	ud
unless	SCONJ	SCONJ	72	ud
unlike	ADP	ADP	8	ud
unquestionably	ADV	ADV	2	ud
until	SCONJ	SCONJ	156	ud
until now	SCONJ	MWE	156	ud
unto	ADP	ADP	2	ud
up	ADP	ADP	1010	ud
up to	ADP	MWE	1010	ud
up to a point	ADP	MWE	1010	ud
up to the present time	ADP	MWE	1010	ud
upon	ADP	ADP	96	ud
us	PROPN	OTH	802	ud
use	VERB	LVERB	748	ud
used	VERB	LVERB	246	ud
used to	VERB	MWE	246	ud
uses	VERB	LVERB	10	ud
using	VERB	LVERB	134	ud
usually	ADV	ADV	86	ud
various	ADJ	OTH	32	ud
versus	ADP	ADP	18	ud
very	ADV	ADV	908	ud
every	DET	DET	236	ud
via	ADP	ADP	46	ud
want	VERB	LVERB	824	ud
wanted	VERB	LVERB	146	ud
wanting	VERB	LVERB	18	ud
wants	VERB	LVERB	72	ud
was	AUX	AUX	2970	ud
wasn't	-	UNK	0	-
we	PRON	PRON	2672	ud
we'd	-	UNK	0	-
week	NOUN	OTH	336	ud
we'll	-	UNK	0	-
went	VERB	LVERB	188	ud
were	AUX	AUX	954	ud
we're	-	UNK	0	-
weren't	-	UNK	0	-
we've	-	UNK	0	-
what	PRON	PRON	1170	ud
what'd	-	UNK	0	-
whatever	PRON	PRON	60	ud
what'll	-	UNK	0	-
what're	-	UNK	0	-
what's	-	UNK	0	-
when	ADV	ADV	918	ud
whencefrom	-	UNK	0	-
when'd	-	UNK	0	-
whenever	ADV	ADV	30	ud
when'll	-	UNK	0	-
when's	-	UNK	0	-
where	ADV	ADV	328	ud
whereabout	-	UNK	0	-
whereabouts	NOUN	OTH	6	ud
whereafter	-	UNK	0	-
whereagainst	-	UNK	0	-
whereas	SCONJ	SCONJ	8	ud
whereat	PROPN	OTH	3	corpus
whereby	SCONJ	SCONJ	6	corpus
where'd	-	UNK	0	-
wherefor	-	UNK	0	-
wherefore	ADV	ADV	21	corpus
wherefrom	-	UNK	0	-
wherein	ADV	ADV	2	ud
whereinto	-	UNK	0	-
where'll	-	UNK	0	-
whereof	X	OTH	18	corpus
whereon	NOUN	OTH	5	corpus
whereover	-	UNK	0	-
where's	-	UNK	0	-
wherethrough	-	UNK	0	-
whereto	VERB	LVERB	2	corpus
wheretofore	NOUN	OTH	1	corpus
whereunder	-	UNK	0	-
whereunto	-	UNK	0	-
whereupon	SCONJ	SCONJ	4	corpus
wherever	ADV	ADV	8	ud
wherewith	VERB	LVERB	6	corpus
wherewithal	-	UNK	0	-
wherewithin	-	UNK	0	-
wherewithout	-	UNK	0	-
whether	SCONJ	SCONJ	114	ud
which	PRON	PRON	840	ud
whichever	-	UNK	0	-
while	SCONJ	SCONJ	256	ud
while it may be true	SCONJ	MWE	256	ud
while this may be true	SCONJ	MWE	256	ud
whilst	SCONJ	SCONJ	6	ud
who	PRON	PRON	848	ud
who'd	-	UNK	0	-
whoever	PRON	PRON	4	ud
who'll	-	UNK	0	-
whom	PRON	PRON	46	ud
whomever	PRON	PRON	2	ud
who's	PRON	PRON	6	ud
whose	PRON	PRON	32	ud
why	ADV	ADV	196	ud
why'd	-	UNK	0	-
why'll	-	UNK	0	-
why's	-	UNK	0	-
will	AUX	AUX	2550	ud
willed	VERB	LVERB	5	corpus
willing	ADJ	OTH	60	ud
with	ADP	ADP	3076	ud
with attention to	ADP	MWE	3076	ud
with regard to	ADP	MWE	3076	ud
with respect to	ADP	MWE	3076	ud
with the exception of	ADP	MWE	3076	ud
with the result that	ADP	MWE	3076	ud
with this	ADP	MWE	3076	ud
with this in mind	ADP	MWE	3076	ud
with this intention	ADP	MWE	3076	ud
with this purpose in mind	ADP	MWE	3076	ud
within	ADP	ADP	128	ud
within sight	ADP	MWE	128	ud
without	ADP	ADP	166	ud
without a doubt	ADP	MWE	166	ud
without doubt	ADP	MWE	166	ud
won't	-	UNK	0	-
work	VERB	LVERB	860	ud
worked	VERB	LVERB	82	ud
working	VERB	LVERB	160	ud
works	VERB	LVERB	80	ud
would	AUX	AUX	1598	ud
woulded	-	UNK	0	-
woulding	-	UNK	0	-
wouldn't	-	UNK	0	-
woulds	-	UNK	0	-
would've	-	UNK	0	-
yes	INTJ	INTJ	172	ud
yet	ADV	ADV	148	ud
you	PRON	PRON	5574	ud
you'd	-	UNK	0	-
you'll	-	UNK	0	-
your	PRON	PRON	1716	ud
you're	PRON	PRON	2	ud
yours	PRON	PRON	8	ud
yourself	PRON	PRON	78	ud
yourselves	PRON	PRON	4	ud
you've	-	UNK	0	-
